l,t,vc_line
1,1,0.5
1,2,0.4
2,1,0.5
2,2,0.4
3,1,0.5
3,2,0.4
4,1,0.5
4,2,0.4
5,1,0.5
5,2,0.4
6,1,0.5
6,2,0.4
7,1,0.5
7,2,0.4
8,1,0.5
8,2,0.4
9,1,0.5
9,2,0.4
10,1,0.5
10,2,0.4
11,1,0.5
11,2,0.4
12,1,0.5
12,2,0.4
13,1,0.5
13,2,0.4
14,1,0.5
14,2,0.4
15,1,0.5
15,2,0.4
16,1,0.5
16,2,0.4
17,1,0.5
17,2,0.4
18,1,0.5
18,2,0.4
19,1,0.5
19,2,0.4
20,1,0.5
20,2,0.4
21,1,0.5
21,2,0.4
22,1,0.5
22,2,0.4
23,1,0.5
23,2,0.4
24,1,0.5
24,2,0.4
25,1,0.5
25,2,0.4
26,1,0.5
26,2,0.4
27,1,0.5
27,2,0.4
28,1,0.5
28,2,0.4
29,1,0.5
29,2,0.4
30,1,0.5
30,2,0.4
31,1,0.5
31,2,0.4
32,1,0.5
32,2,0.4
33,1,0.5
33,2,0.4
34,1,0.5
34,2,0.4
35,1,0.5
35,2,0.4
36,1,0.5
36,2,0.4
37,1,0.5
37,2,0.4
38,1,0.5
38,2,0.4
39,1,0.5
39,2,0.4
40,1,0.5
40,2,0.4
41,1,0.5
41,2,0.4
42,1,0.5
42,2,0.4
43,1,0.5
43,2,0.4
44,1,0.5
44,2,0.4
45,1,0.5
45,2,0.4
46,1,0.5
46,2,0.4
47,1,0.5
47,2,0.4
48,1,0.5
48,2,0.4
49,1,0.5
49,2,0.4
50,1,0.5
50,2,0.4
51,1,0.5
51,2,0.4
52,1,0.5
52,2,0.4
53,1,0.5
53,2,0.4
54,1,0.5
54,2,0.4
55,1,0.5
55,2,0.4
56,1,0.5
56,2,0.4
57,1,0.5
57,2,0.4
58,1,0.5
58,2,0.4
59,1,0.5
59,2,0.4
60,1,0.5
60,2,0.4
61,1,0.5
61,2,0.4
62,1,0.5
62,2,0.4
63,1,0.5
63,2,0.4
64,1,0.5
64,2,0.4
65,1,0.5
65,2,0.4
66,1,0.5
66,2,0.4
67,1,0.5
67,2,0.4
68,1,0.5
68,2,0.4
69,1,0.5
69,2,0.4
70,1,0.5
70,2,0.4
71,1,0.5
71,2,0.4
72,1,0.5
72,2,0.4
73,1,0.5
73,2,0.4
74,1,0.5
74,2,0.4
75,1,0.5
75,2,0.4
76,1,0.5
76,2,0.4
77,1,0.5
77,2,0.4
78,1,0.5
78,2,0.4
79,1,0.5
79,2,0.4
80,1,0.5
80,2,0.4
81,1,0.5
81,2,0.4
82,1,0.5
82,2,0.4
83,1,0.5
83,2,0.4
84,1,0.5
84,2,0.4
85,1,0.5
85,2,0.4
86,1,0.5
86,2,0.4
87,1,0.5
87,2,0.4
88,1,0.5
88,2,0.4
